"","num","inst","nombre","sexo","entidad"
"67",67,275,"Director: Mtra. Maribel Piña ","f","BC"
"68",68,279,"Director: Profr. Pablo Pérez Nava ","m","BC"
"69",69,283,"Director: Profr. José Isabel Barba Martínez ","m","BC"
"70",70,287,"Director: Profr. Tito Saúl Velázquez Varela ","m","BC"
"71",71,291,"Director: Profr. Martin Gutiérrez Gaeta ","m","BC"
"72",72,295,"Director: Profra. Graciela López Orduño ","f","BC"
"73",73,299,"Director: Lic. José Gerardo Aguíñiga Montes ","m","BC"
"74",74,303,"Director: Profr. Mauro Fuentes Vásquez ","m","BC"
"75",75,307,"Director: Dra. María Esther Uriegas ","f","BC"
"76",76,312,"Director: Lic. Arturo Serrano Santoyo ","m","BC"
"78",78,320,"Director: Lic. Lorenzo López Lima ","m","BC"
"79",79,324,"Director: Lic. Carlos Alberto Carrillo Uribe ","m","BC"
"81",81,332,"Director: Lic. Francisco Bátiz ","m","BC"
"82",82,337,"Director: Ing. Roberto Juan Camacho Tapia ","m","BC"
"83",83,342,"Director: Dra. Mireya Saraí García Vázquez ","f","BC"
"84",84,346,"Director: Lic. David Cortés Rivera ","m","BC"
"85",85,350,"Director: Ing. Marcelino Bauza Rosete ","m","BC"
"88",88,362,"Director: M.I. Francisco Javier Ortiz Serrano ","m","BC"
"89",89,366,"Director: Ing. José Guillermo Cárdenas López ","m","BC"
"90",90,370,"Director: Ing. Jaime Alejandro Bernal Arriola ","m","BC"
"91",91,375,"Director: ing.Jaime Bernal de la Parra ","m","BC"
"92",92,379,"Director: Mtro. Jorge Adolfo González Ponce ","m","BC"
"93",93,383,"Director: Mtro. Javier González Monroy ","m","BC"
"94",94,387,"Director: Dr. Daniel Octavio Valdez Delgadillo ","m","BC"
"95",95,392,"Director: Dra. Mónica Lacavex Berumen ","f","BC"
"96",96,397,"Director: Dra. Gisela Montero Alpírez ","f","BC"
"97",97,402,"Director: Dr. Jose David Ledezma Torres ","m","BC"
"98",98,407,"Director: Dra. Edith Montiel Ayala ","f","BC"
"102",102,423,"Director: Lic. Anél Fierro López ","f","BC"
"103",103,427,"Director: Lic. Jesús Ortiz Figueroa ","m","BC"
"104",104,431,"Director: Ing. Antonio Carrillo Rodríguez ","m","BC"
"105",105,435,"Director: Lic. Jesús J. Ruiz Barraza ","m","BC"
"106",106,440,"Director: Lic. Mario Rubio ","m","BC"
"107",107,445,"Director: Lic. Keiko Nichikawa ","f","BC"
"108",108,449,"Director: Dr. Gerardo Daniel Juarez Martinez ","m","BC"
"109",109,453,"Director: Lic. Bibiana Espinoza Hernández ","f","BC"
"110",110,458,"Director: Mtro. José Leonel Ibarra Navarro ","m","BC"
"111",111,462,"Director: Profr. Alfonso Sepúlveda Ornelas ","m","BC"
"113",113,470,"Director: Dr. Rubén Arceo López ","m","BC"
"114",114,475,"Director: Lic. Jorge Enrique juárez Barba ","m","BC"
"125",125,519,"Director: C. P. Juan Jesús Algravéz Uranga ","m","BC"
"126",126,523,"Director: Dr. Oscar Avila Corrujedo ","m","BC"
"127",127,527,"Director: Mtro. Othon Rogelio Casillas Ángel ","m","BC"
"133",133,551,"Director: Lic. Oscar Eduardo Haupt Gutiérrez ","m","BC"
"134",134,556,"Director: Profra. Teresa de Jesús Bañuelos Tamayo ","f","BCS"
"135",135,560,"Director: Dr. Daniel Bernardo Lluch Cota ","m","BCS"
"136",136,564,"Director: Profr. José Martín Zapáta Flóres ","m","BCS"
"137",137,568,"Director: Lic. Edgar León Alcantar ","m","BCS"
"138",138,572,"Director: Lic. José Francisco Mercado Romero ","m","BCS"
"139",139,577,"Director: Dra. María Margarita Casas Váldez ","f","BCS"
"140",140,581,"Director: Lic. Adalberto Pérez Pérez ","m","BCS"
"142",142,589,"Director: Ing. Jesús David Estrada Ruiz ","m","BCS"
"143",143,593,"Director: M.C. Edgar Guillermo Polanco Martínez ","m","BCS"
"144",144,597,"Director: M. Ed. Juan Antonio Villavicencio Villalejos ","m","BCS"
"145",145,601,"Director: Mtro. Jaime Bernal de la Parra ","m","BCS"
"146",146,605,"Director: Lic. Margarita Cardenas Zazueta ","f","BCS"
"147",147,609,"Director: Dr. Dante Arturo Salgado González ","m","BCS"
"148",148,614,"Director: MenA. Marco Antonio Monroy Ceseña ","m","BCS"
"149",149,618,"Director: Mtro. Jesús Ruiz Barraza ","m","BCS"
"150",150,623,"Director: Lic. Miguel Vázquez Valtiérra ","m","BCS"
"151",151,628,"Director: Dulce Carína Cázares ","f","BCS"
"152",152,632,"Director: Mtro. Miguel G. Albañez Espinoza ","m","BCS"
"153",153,637,"Director: Lic. Edgar Landín Olivas ","m","BCS"
"154",154,641,"Director: Dr. Carlos Ignacio Gallardo Ballacey ","m","BCS"
"155",155,646,"Director: Lic. Victor Joaquín Campos González ","m","CAMP"
"156",156,651,"Director: María Eugenia Izundegui Trejo ","f","CAMP"
"157",157,655,"Director: Licda. Graciela Europa Camas May ","f","CAMP"
"158",158,659,"Director: C.P. David Torres Rivera ","m","CAMP"
"159",159,663,"Director: C. P. Alejandro Manzola Dorantes ","m","CAMP"
"160",160,668,"Director: Dr. Everardo Aceves Navarro ","m","CAMP"
"161",161,672,"Director: Mtra. Minerva Morales Pulido ","f","CAMP"
"162",162,677,"Director: Dr. José Armando Alayón Gamboa ","m","CAMP"
"163",163,681,"Director: Graciela Europa Camas May ","f","CAMP"
"164",164,685,"Director: Guadalupe Eugenia Quijano Villanueva ","f","CAMP"
"165",165,689,"Director: Profr. Jesús Octavio Pinto Barredo ","m","CAMP"
"166",166,693,"Director: Profr. Joaquín Montero Chantres ","m","CAMP"
"167",167,697,"Director: Profra. María Susana Arvez Pérez ","f","CAMP"
"168",168,701,"Director: Profr. Miguel A. Flores Suárez ","m","CAMP"
"169",169,705,"Director: Mtro. Rene Teodoro Rodríguez Tapia ","m","CAMP"
"170",170,709,"Director: Lic. Laura Herrera ","f","CAMP"
"171",171,713,"Director: Mtro. José Joaquín Uc Valencia ","m","CAMP"
"172",172,717,"Director: Lic. Fernando Oropeza Arizpe ","m","CAMP"
"173",173,721,"Director: Mtra. Inés Concepción Duarte Reyes ","f","CAMP"
"174",174,725,"Director: Mtro. Miguel Ángel Apolinar Herrera ","m","CAMP"
"175",175,730,"Director: Ing. Alvaro Villarino Lezama ","m","CAMP"
"176",176,734,"Director: Ing. Javier Chacha Coto ","m","CAMP"
"177",177,738,"Director: Dr. Manuel De Jesús Soria Fregoso ","m","CAMP"
"180",180,750,"Director: C.P. Javier García González ","m","CAMP"
"181",181,754,"Director: Lic. Edilberto Ramón Rosado Méndez ","m","CAMP"
"182",182,758,"Director: Mtro. Johnny Alejandro Heredia Itzá ","m","CAMP"
"183",183,762,"Director: Dr. Luis Ramón Carrillo Oertegón ","m","CAMP"
"184",184,766,"Director: Ing. Hiram Aranda ","m","CAMP"
"185",185,770,"Director: Dra. Mercedes Burgos Medina ","f","CAMP"
"186",186,774,"Director: Mtro. José Guadalupe Cruz Romero ","m","CAMP"
"187",187,778,"Director: Lic. Mercedes Herrera Tepatlan ","f","CAMP"
"189",189,786,"Director: Dra. Cindy Rossina Saravia López ","f","CAMP"
"190",190,790,"Director: Dr. José Antonio Ruz Hernández ","m","CAMP"
"197",197,818,"Director: Lic. Hilda Eugenia Velázquez Rodríguez ","f","CAMP"
"198",198,822,"Director: Mtra. Paula Zamudio Zagada ","f","CAMP"
"199",199,827,"Director: Jesús Adólfo Murillo González ","m","CHIS"
"202",202,839,"Director: CP. Moisés Ulloa Solis ","m","CHIS"
"203",203,843,"Director: LIc. Hector Avila Flores ","m","CHIS"
"204",204,847,"Director: Martín de Jesús Arroyo Girón ","m","CHIS"
"205",205,851,"Director: Lic. Jorge Luis Arias Zebadua ","m","CHIS"
"206",206,856,"Director: Dra. Dolores Palomo Infante ","f","CHIS"
"207",207,860,"Director: Mtro. Ricardo Andrés Coutiño Pérez ","m","CHIS"
"208",208,864,"Director: Mtra. Norma Cabrera Gálvez ","f","CHIS"
"209",209,868,"Director: Ing. Enrique Adolfo Salvador Orozco ","m","CHIS"
"210",210,872,"Director: Dr. José Guadalupe Méndez ","m","CHIS"
"211",211,877,"Director: Dr. Ramón Mariaca Méndez ","m","CHIS"
"212",212,882,"Director: Dr. Jorge Toledo Arreola ","m","CHIS"
"213",213,887,"Director: Lic. Norma Esther López Maldonado ","f","CHIS"
"216",216,899,"Director: Lic. Juana López Meza ","f","CHIS"
"217",217,903,"Director: C. Jesús Arturo Yañez Zúñiga ","m","CHIS"
"218",218,907,"Director: Nat. P.N. Faviola Davis Lucas ","f","CHIS"
"219",219,911,"Director: Lic. Daniel Palancares Noriega ","m","CHIS"
"220",220,915,"Director: Arq. Virginia Paola Sánchez Sánchez ","f","CHIS"
"221",221,919,"Director: LEF Cruz Ávila López ","m","CHIS"
"222",222,923,"Director: LEF Abraham Jorge Estrada Soto ","m","CHIS"
"223",223,927,"Director: Mtro. Lorenzo Alonso Santiago ","m","CHIS"
"224",224,931,"Director: Lic. Marín Octavio Flores Paniagua ","m","CHIS"
"225",225,935,"Director: Profr. Carlos Pérez Orozco ","m","CHIS"
"226",226,939,"Director: Profr. Odulio Ruiz Vilchis ","m","CHIS"
"227",227,943,"Director: Dra. Fidalma Jiménez Velasco ","f","CHIS"
"228",228,947,"Director: Lic. Martin Rafael Mondragón Rios ","m","CHIS"
"229",229,951,"Director: Profr. Félix Enrique Juan González ","m","CHIS"
"230",230,955,"Director: Profr. José Macías Equihua ","m","CHIS"
"231",231,959,"Director: Profra. Irma Moreno Sanchez ","f","CHIS"
"232",232,963,"Director: Profra. Beltrán Marroquín Aquino ","f","CHIS"
"233",233,967,"Director: Mtro. Conrado de Jesús Borraz León ","m","CHIS"
"236",236,979,"Director: Dr. Jorge González Juárez ","m","CHIS"
"237",237,983,"Director: Profr. Marco Antonio Salas Rique ","m","CHIS"
"238",238,987,"Director: Dr. Jesús Aquino Juan ","m","CHIS"
"239",239,991,"Director: Lic. Jesús Arturo Yáñez Zúñiga ","m","CHIS"
"240",240,995,"Director: Lic. María del Carmen Carreto Loechez ","f","CHIS"
"241",241,999,"Director: C. Juan Carlos Gómez Aranda ","m","CHIS"
"242",242,1003,"Director: Profr. Serafín Culebro González ","m","CHIS"
"243",243,1007,"Director: Mtra. Beatriz Olivia Pedrero Villanueva ","f","CHIS"
"244",244,1011,"Director: Lic. José Gilberto Rincón Carrillo ","m","CHIS"
"245",245,1015,"Director: L.A.E. José Juan Ortiz Martínez ","m","CHIS"
"246",246,1019,"Director: Lic. Roberto Montoya Gómez ","m","CHIS"
"247",247,1023,"Director: Mtro. Emilio Enrique Salazar Narváez ","m","CHIS"
"248",248,1028,"Director: C.P. Emilio Enrique Salazar ","m","CHIS"
"249",249,1032,"Director: C.P. Elena Osorio Coutiño ","f","CHIS"
"250",250,1036,"Director: Mtro. Arnoldo Hernández Mérida ","m","CHIS"
"252",252,1044,"Director: Dr. Gabriel Isaac Sarmiento Robles ","m","CHIS"
"253",253,1048,"Director: CP Eseciel Mancilla Ocaña ","m","CHIS"
"254",254,1052,"Director: Pbro. Mtro. Felipe Ruiz Pérez ","m","CHIS"
"255",255,1056,"Director: Lic. José Eugenio Berdejo Pinto ","m","CHIS"
"256",256,1060,"Director: Dr. Gabriel Enrique Bravo del Carpio ","m","CHIS"
"258",258,1068,"Director: Lic. Jorge A. Pola Figueroa ","m","CHIS"
"259",259,1072,"Director: M. Pedro Ancheyta Bringas ","m","CHIS"
"261",261,1080,"Director: Mtra.Rosa Aidé Domínguez Ochoa ","f","CHIS"
"262",262,1084,"Director: M.E.H. José Luis Méndez Navarro ","m","CHIS"
"263",263,1088,"Director: Mtro. Gonzalo Esteban Girón Aguiar ","m","CHIS"
"264",264,1093,"Director: C.P. Manuel Villalobos García ","m","CHIS"
"265",265,1097,"Director: Mtro. Franklin Javier López ","m","CHIS"
"266",266,1101,"Director: Mtro. Gustavo Arguello Calderón ","m","CHIS"
"267",267,1106,"Director: Dr. Gerardo Porfirio Hernández Aguilar ","m","CHIS"
"268",268,1110,"Director: Dr. Carlos Faustino Natarén Nandayapa ","m","CHIS"
"269",269,1116,"Director: Mtro. Héctor Antonio Gordillo Palacios ","m","CHIS"
"270",270,1122,"Director: Mtro. Carlos Gumaro García Castillo ","m","CHIS"
"271",271,1128,"Director: Mtra. Hilda García Castillo ","f","CHIS"
"272",272,1134,"Director: Mtro. Hernán Hernández Marroquín ","m","CHIS"
"273",273,1140,"Director: L.C.P. Andrés Morales Martínez ","m","CHIS"
"276",276,1156,"Director: M.C. Jaime Llaven Martínez ","m","CHIS"
"277",277,1160,"Director: Lic. José Luis Lara Aguilar ","m","CHIS"
"278",278,1164,"Director: Dr. José Rodolfo Calvo Fonseca ","m","CHIS"
"279",279,1168,"Director: C.P. Norma Angelica Molina Zuñiga ","f","CHIS"
"280",280,1172,"Director: Lic. Neftali Castillejos Toledo ","m","CHIS"
"281",281,1176,"Director: Dr. Efraín Gutiérrez y Rodríguez ","m","CHIS"
"283",283,1185,"Director: Mtra. Rocío Oliver López ","f","CHIS"
"286",286,1197,"Director: Mtro. Roberto Arturo Morales Ortega ","m","CHIS"
"287",287,1201,"Director: Dr. Raúl Lozano Rivera ","m","CHIS"
"288",288,1205,"Director: Lic. Rubicel Guizar Ruíz ","m","CHIS"
"289",289,1209,"Director: M. en C. Francisco Javier Hernández Domínguez ","m","CHIS"
"290",290,1213,"Director: Ing.. José Fernando Salazar Álvarez ","m","CHIS"
"291",291,1217,"Director: M.A. José Ramón Velázquez Moreno ","m","CHIS"
"292",292,1221,"Director: Dr. Navor Francisco Ballinas Morales ","m","CHIS"
"293",293,1225,"Director: Dr. Gonzalo Vázquez Nataren ","m","CHIS"
"295",295,1233,"Director: Mtro. Sergio Agustín Cruz Maldonado ","m","CHIS"
"296",296,1237,"Director: Mtro. Juan Carlos Gordillo Culebro ","m","CHIS"
"297",297,1242,"Director: C.P. Jorge Luis Gómez Cruz ","m","CHIS"
"298",298,1247,"Director: Lic. José María Jiménez Gómez ","m","CHIS"
"299",299,1252,"Director: Lic. Gamaliel Hernández Escobar ","m","CHIS"
"300",300,1256,"Director: Mtro. José Fernando López Aguilar ","m","CHIS"
"301",301,1261,"Director: Mtra. Lidia Trinidad Olguín Ruíz ","f","CHIH"
"302",302,1265,"Director: Mtro. Arturo Vázquez Marín ","m","CHIH"
"303",303,1270,"Director: Lic. Jorge Agustín Rojas López ","m","CHIH"
"304",304,1274,"Director: Profr. Isídro Domínguez Quezáda ","m","CHIH"
"305",305,1278,"Director: Profr.Abelardo Rodúlfo Gocobachi ","m","CHIH"
"306",306,1282,"Director: M.C. Yolanda Manquero. ","f","CHIH"
"307",307,1286,"Director: C. José Luis Vallejo Gallegos ","m","CHIH"
"308",308,1290,"Director: Dra.Blanca Magrassi Scano ","f","CHIH"
"309",309,1295,"Director: Lic. Ma. Estela Salayandía García ","f","CHIH"
"310",310,1299,"Director: Dr. Humberto Licón Mendoza ","m","CHIH"
"311",311,1303,"Director: Lic. Korina Lizett Acevedo Lechuga ","f","CHIH"
"312",312,1307,"Director: Dr. Juan Méndez Nonell ","m","CHIH"
"313",313,1311,"Director: Dr. Ricardo Fuentes Reza ","m","CHIH"
"314",314,1315,"Director: Lic. Luis Ernesto Macías Abril ","m","CHIH"
"315",315,1319,"Director: Prof. Juán José Zubía Aragón ","m","CHIH"
"316",316,1323,"Director: Lic. Francisca Lilia Méndez ","f","CHIH"
"317",317,1327,"Director: Lic. Rogelio Aviña Medina ","m","CHIH"
"318",318,1331,"Director: Lic. María Elena Seyffert López ","f","CHIH"
"319",319,1336,"Director: Pavel Alberto Chávez Rodríguez ","m","CHIH"
"320",320,1341,"Director: Blanca Aguilera Porras ","f","CHIH"
"321",321,1346,"Director: Carmen Magali Maldonado ","f","CHIH"
"322",322,1351,"Director: Lic. Myriam Rocio Páez Arras ","f","CHIH"
"323",323,1355,"Director: Arq.Claudína Lágue Roméro ","f","CHIH"
"324",324,1359,"Director: Lic. Elva Hernández Alvidrez ","f","CHIH"
"325",325,1363,"Director: Profr. Manuel Alberto Navarro Weckmann ","m","CHIH"
"326",326,1367,"Director: Dra.Rosario Valdés Caraveo ","f","CHIH"
"327",327,1371,"Director: Dr. Juan Manuel Vázquez Molina ","m","CHIH"
"328",328,1375,"Director: Mtra. Lylia Ana Morales Sifuentes ","f","CHIH"
"329",329,1379,"Director: Profr. Jesús M. Ramírez Lara ","m","CHIH"
"330",330,1383,"Director: Profr. Aminabad González Quiñones ","m","CHIH"
"331",331,1387,"Director: Ing. Juan Emeterio Ruíz Cruz ","m","CHIH"
"332",332,1391,"Director: Lic. Javier António Cabáda Seañez ","m","CHIH"
"333",333,1395,"Director: Lic. Carlos Enrique García Orozco ","m","CHIH"
"334",334,1399,"Director: Lic. Martha Olivia Ruíz Cruz ","f","CHIH"
"335",335,1403,"Director: Mtro. José Luis Lara Ramírez ","m","CHIH"
"336",336,1407,"Director: C.P. Luis Raúl Olivas ","m","CHIH"
"337",337,1411,"Director: Dr. Alfredo Rojas Zapata ","m","CHIH"
"338",338,1415,"Director: Lic. Jesus Murillo ","m","CHIH"
"339",339,1421,"Director: Antrop. Rodolfo Coronado Ramírez ","m","CHIH"
"340",340,1425,"Director: Dra. Flora Aurón Zaltzman ","f","CHIH"
"341",341,1430,"Director: Arq. Francisco Villa Barriga ","m","CHIH"
"342",342,1434,"Director: Lic. Daniel García Coello ","m","CHIH"
"343",343,1438,"Director: Dr. José Rivera Mejía ","m","CHIH"
"344",344,1442,"Director: Dr. Ulises Martínez Contreras ","m","CHIH"
"345",345,1446,"Director: Mtra. Elizabeth Siqueiros Loera ","f","CHIH"
"346",346,1450,"Director: Mtro. David Navarrete Tavares ","m","CHIH"
"347",347,1454,"Director: Mtro. Hermenegildo Lagarda Leyva ","m","CHIH"
"348",348,1458,"Director: M.C. Alfredo Villalba Rodríguez ","m","CHIH"
"351",351,1470,"Director: Ing. Alfredo Ríos Fernández ","m","CHIH"
"352",352,1474,"Director: Lic. M.I. Jorge Luis Santiesteban Segura ","m","CHIH"
"353",353,1479,"Director: Dr. Rodolfo Julio Castello Zetin ","m","CHIH"
"354",354,1484,"Director: Lic. María Elena Mora Rodarte ","f","CHIH"
"355",355,1488,"Director: M. en C. Ramón Olguín Sánchez ","m","CHIH"
"356",356,1492,"Director: Mtro. Cecilio Armando Esquivel Varela ","m","CHIH"
"357",357,1496,"Director: Mtra. Marina Jocabed Alvidrez ","f","CHIH"
"358",358,1500,"Director: M.E. Luis Alberto Fierro Ramírez ","m","CHIH"
"359",359,1505,"Director: M.C. Francisco Márquez Salcido ","m","CHIH"
"360",360,1510,"Director: M.A. Eloy Díaz Unzueta ","m","CHIH"
"361",361,1515,"Director: M.A. Herik Germán Valles Baca ","m","CHIH"
"362",362,1519,"Director: Mtro. Juan Ignacio Camargo Nassar ","m","CHIH"
"363",363,1524,"Director: Mtro. René Noriega Armendáriz ","m","CHIH"
"364",364,1529,"Director: Ing. Antonio Villalobos Moreno ","m","CHIH"
"367",367,1542,"Director: Lic. Omár Ortíz Valenzuéla ","m","CHIH"
"368",368,1547,"Director: Lic. Carlos Alberto Cano Tinajero ","m","CHIH"
"369",369,1552,"Director: Mtro. Fernando Letayf Pesqueira ","m","CHIH"
"370",370,1556,"Director: M.E.S Rosana Aguirre ","f","CHIH"
"371",371,1560,"Director: Dr. Salvador Valle Gómez, fsc ","m","CHIH"
"372",372,1564,"Director: Lic. Carlos A. Cano Tinajero ","m","CHIH"
"373",373,1568,"Director: Ing. José Roberto Zamarrón Zamarrón ","m","CHIH"
"374",374,1572,"Director: Ing.José Roberto Zamarrón Zamarrón ","m","CHIH"
"375",375,1576,"Director: Mtra. Guadalupe Elvira García Cortés ","f","CHIH"
"376",376,1580,"Director: Lic. América Agustina Solís Sánchez ","f","CHIH"
"381",381,1600,"Director: Mtro. Heri Flores ","m","CHIH"
"382",382,1604,"Director: Lic. Guillermo José Álvarez Terrazas ","m","CHIH"
"383",383,1608,"Director: Mtra. Laura Elena Arce Méndez ","f","CHIH"
"385",385,1617,"Director: Prof. Pedro Flores Vázquez ","m","COAH"
"386",386,1621,"Director: Lic. Juana María Leija Martínez ","f","COAH"
"387",387,1625,"Director: C. Manyu AAdalberta Aparicio Sánchez ","f","COAH"
"388",388,1629,"Director: Lic. Alicia E. Barajas Sosa ","f","COAH"
"389",389,1633,"Director: Lic. Misael López Reyes ","m","COAH"
"390",390,1637,"Director: Dr. Oliverio Santiago Rodríguez Fernández ","m","COAH"
"391",391,1642,"Director: Dr. Armando Salinas Rodríguez ","m","COAH"
"393",393,1651,"Director: M.C. Claudia A.González Rodríguez ","f","COAH"
"394",394,1656,"Director: Ing. Iris Marques ","f","COAH"
"395",395,1660,"Director: Ing.Jesús Navarro Flores ","m","COAH"
"396",396,1664,"Director: Lic. E.F. Gabriel Antonio Mares Meza ","m","COAH"
"397",397,1668,"Director: Mtra. Claudia Herlinda Castillo de la Fuente ","f","COAH"
"398",398,1672,"Director: Mtro. Daniel Martiñon Romero ","m","COAH"
"399",399,1676,"Director: Profr. Fernando Mondragón Aguilar ","m","COAH"
"400",400,1680,"Director: Profr. José Antonio Pámanes Cortés ","m","COAH"
"401",401,1684,"Director: Profra. Marisol Reyes Fuentes ","f","COAH"
"402",402,1688,"Director: Profra. María del Rosario García Rodríguez ","f","COAH"
"403",403,1692,"Director: Profr. Jesús Alonso Campos ","m","COAH"
"404",404,1696,"Director: M. V. Z. Héctor Menchaca Campos ","m","COAH"
"405",405,1700,"Director: C.P. Carlos Ángel Garza Ramírez ","m","COAH"
"406",406,1704,"Director: Lic. Juan Manuel Jiménez Valdés ","m","COAH"
"408",408,1712,"Director: Lic. Javier Guerrero García ","m","COAH"
"409",409,1716,"Director: Profra. Griselda Cuevas Flores ","f","COAH"
"410",410,1720,"Director: Lic. Ana Isabel Arellano Lara ","f","COAH"
"411",411,1724,"Director: Dr. Roque Javier Márquez Robles ","m","COAH"
"412",412,1728,"Director: Mtro. Héctor Pinedo González ","m","COAH"
"413",413,1732,"Director: Lic. José Francisco Marcos Avila ","m","COAH"
"414",414,1736,"Director: Lic. José Luis Garzón Valdés ","m","COAH"
"415",415,1740,"Director: Profra. Ma. Guadalupe Adame Hernández ","f","COAH"
"416",416,1744,"Director: Dr. Carlos Alejandro Zarzar Charur ","m","COAH"
"417",417,1748,"Director: Mtro. Jesús Berumen Jaik ","m","COAH"
"418",418,1752,"Director: Dr. Gustavo Quiroga Leos ","m","COAH"
"419",419,1756,"Director: Mtro. Juan José Bernal Gómez ","m","COAH"
"420",420,1760,"Director: C. Octavio Orellana Wiarco ","m","COAH"
"421",421,1764,"Director: MC Natanael Flores González ","m","COAH"
"422",422,1768,"Director: M.C. Alejandro Merced Valdés Aguirre ","m","COAH"
"426",426,1784,"Director: Dr. Miguel Ángel Cisneros Guerrero ","m","COAH"
"427",427,1788,"Director: Ing. Oswaldo Padilla Gorosave ","m","COAH"
"428",428,1792,"Director: Ing. Arnoldo Solís Covarrubias ","m","COAH"
"429",429,1796,"Director: Ing. José Luis Zapata Dávila ","m","COAH"
"430",430,1800,"Director: Lic. Saúl Noguerón Contreras ","m","COAH"
"431",431,1804,"Director: Dr. Raúl Sergio Farías Martínez ","m","COAH"
"432",432,1808,"Director: Lic. Oscar Aguilar Salinas ","m","COAH"
"433",433,1812,"Director: M. en C. Alejandro Merced Valdés Aguirre ","m","COAH"
"434",434,1817,"Director: Ing. Martín López Méndez ","m","COAH"
"435",435,1822,"Director: Lic. Angelberto Guardado Astorga ","m","COAH"
"436",436,1826,"Director: Lic. Efraín Zúñiga Castañeda ","m","COAH"
"437",437,1830,"Director: Profra. Ma. Del Rosario Tellez Guajardo ","f","COAH"
"438",438,1834,"Director: Mtro. Lepoldo Camacho Sustaita ","m","COAH"
"439",439,1838,"Director: Profr. Manuel J. Villalobos Maldonado ","m","COAH"
"440",440,1842,"Director: Profr. José Héctor Montalvo Aguilar ","m","COAH"
"441",441,1846,"Director: Dr. Mario Ernesto Vázquez Badillo ","m","COAH"
"442",442,1851,"Director: Dr. Esteban Favela Chávez ","m","COAH"
